Changelist ID,Change Type,Description,Previous Change ID,Current Change ID,Date & Time
17747162,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2023-02-15T08:01:14+00:00
17737928,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2023-02-14T15:12:47+00:00
17715034,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2023-02-12T14:12:47+00:00
17687275,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2023-02-09T17:12:50+00:00
17681966,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2023-02-09T09:12:45+00:00
17679680,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2023-02-09T04:12:45+00:00
17652688,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2023-02-07T04:24:20+00:00
17626712,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2023-02-04T16:24:28+00:00
17624144,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2023-02-04T08:24:21+00:00
17590296,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2023-02-01T20:24:21+00:00
17573039,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2023-01-31T16:18:21+00:00
17556544,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2023-01-30T12:18:01+00:00
13 months ago· 13 January 2023 – 00:30:03 UTC,diff-modified,ChangedStore Release Date–TBA›To be announced,,,2023-01-13T00:30:03+00:00
13 months ago· 13 January 2023 – 00:30:02 UTC,diff-removed,RemovedStore API Release Date (may be wrong)–1835388000,,,2023-01-13T00:30:02+00:00
17329195,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2023-01-10T16:13:55+00:00
17320937,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2023-01-09T23:28:29+00:00
17308691,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2023-01-08T20:13:59+00:00
16949991,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2022-12-04T02:10:15+00:00
16678072,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2022-11-09T19:44:37+00:00
16624936,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2022-11-04T16:44:48+00:00
16618158,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2022-11-04T04:44:33+00:00
16587438,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2022-11-01T20:02:20+00:00
16584795,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2022-11-01T16:02:24+00:00
16417158,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2022-10-19T11:47:06+00:00
16189658,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2022-09-28T11:59:36+00:00
15785146,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2022-08-20T01:16:35+00:00
15692402,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2022-08-10T21:14:00+00:00
15663282,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2022-08-08T09:09:46+00:00
15658633,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2022-08-07T17:09:53+00:00
15394599,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2022-07-12T11:01:41+00:00
15290949,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2022-07-01T03:56:50+00:00
15287574,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2022-06-30T19:56:54+00:00
15255703,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2022-06-28T02:26:36+00:00
15238591,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2022-06-26T00:20:04+00:00
15213571,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2022-06-23T12:59:14+00:00
15189724,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2022-06-21T12:28:49+00:00
14949424,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2022-05-28T11:51:24+00:00
14883625,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2022-05-21T21:36:14+00:00
14806673,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2022-05-13T22:41:09+00:00
14504616,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2022-04-13T10:08:08+00:00
14488133,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2022-04-11T21:22:25+00:00
14391904,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2022-04-01T04:01:16+00:00
14264129,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2022-03-18T12:23:59+00:00
14241290,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2022-03-16T12:23:53+00:00
2 years ago· 15 March 2022 – 15:21:55 UTC,diff-added,AddedStore API Release Date (may be wrong)–1835388000,,,2022-03-15T15:21:55+00:00
13766145,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2022-01-26T05:57:24+00:00
13707054,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2022-01-20T00:14:54+00:00
12890693,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2021-10-19T17:21:09+00:00
12868907,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2021-10-17T09:21:09+00:00
12742601,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2021-10-03T04:05:07+00:00
12667013,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2021-09-25T04:04:37+00:00
12602079,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2021-09-18T00:48:41+00:00
12557563,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2021-09-14T00:07:31+00:00
12509177,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2021-09-08T12:07:22+00:00
12475566,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2021-09-04T00:30:47+00:00
12438770,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2021-08-31T16:05:08+00:00
12329835,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2021-08-19T08:11:11+00:00
12326944,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2021-08-19T00:11:09+00:00
12263263,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2021-08-11T16:09:13+00:00
12201987,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2021-08-04T12:07:16+00:00
12175045,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2021-08-01T08:12:07+00:00
12161089,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2021-07-30T08:32:43+00:00
12119122,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2021-07-26T04:27:09+00:00
12109073,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2021-07-24T08:27:09+00:00
12081203,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2021-07-21T12:27:10+00:00
12056464,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2021-07-18T21:18:33+00:00
11984150,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2021-07-09T16:08:44+00:00
11942406,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2021-07-05T12:01:18+00:00
11723836,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2021-06-10T20:52:13+00:00
11584846,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2021-05-26T12:12:42+00:00
11580131,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2021-05-26T00:12:36+00:00
11511279,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2021-05-18T02:17:53+00:00
11495422,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2021-05-15T18:18:02+00:00
11488994,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2021-05-14T18:18:00+00:00
11440727,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2021-05-09T12:12:40+00:00
11438641,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2021-05-09T00:12:28+00:00
11425851,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2021-05-07T08:12:26+00:00
11300209,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2021-04-22T20:11:44+00:00
11294202,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2021-04-22T08:11:35+00:00
11241321,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2021-04-15T21:41:16+00:00
11230300,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2021-04-14T20:10:11+00:00
11221640,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2021-04-14T00:10:04+00:00
11214239,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2021-04-13T08:27:06+00:00
11152421,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2021-04-06T04:21:16+00:00
11078795,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2021-03-27T12:13:44+00:00
11076177,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2021-03-27T00:13:42+00:00
11034310,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2021-03-22T20:14:00+00:00
11020130,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2021-03-20T16:14:02+00:00
11013496,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2021-03-19T16:13:58+00:00
10928105,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2021-03-09T20:04:37+00:00
3 years ago· 27 February 2021 – 18:35:19 UTC,diff-added,AddedMovies/TrailersAdded movie256742997,256742997,256742997,2021-02-27T18:35:19+00:00
3 years ago· 27 February 2021 – 18:35:19 UTC,diff-added,Added movie256742997,256742997,256742997,2021-02-27T18:35:19+00:00
10840821,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2021-02-26T20:11:47+00:00
10794842,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2021-02-21T23:35:19+00:00
10761300,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2021-02-17T15:35:17+00:00
10450975,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2021-01-12T16:16:09+00:00
10447804,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2021-01-12T08:15:58+00:00
10429395,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2021-01-09T08:16:04+00:00
10424862,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2021-01-08T16:16:19+00:00
10421733,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2021-01-08T08:16:02+00:00
10420645,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2021-01-08T04:15:54+00:00
10416508,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2021-01-07T16:16:03+00:00
10404597,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2021-01-06T04:15:52+00:00
10378515,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2021-01-01T15:35:09+00:00
10375827,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2020-12-31T23:34:52+00:00
10349915,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2020-12-27T11:34:50+00:00
10346404,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2020-12-26T15:34:46+00:00
10342355,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2020-12-25T15:34:46+00:00
10269733,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2020-12-15T21:04:01+00:00
10230927,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2020-12-10T13:03:34+00:00
10225747,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2020-12-09T21:12:08+00:00
10215702,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2020-12-08T19:09:54+00:00
10210543,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2020-12-08T07:09:51+00:00
10190469,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2020-12-05T00:09:48+00:00
